,Distance,Sample
393,0.8636320000000002,Simulation
394,0.8693120000000001,Simulation
395,0.868608,Simulation
396,0.8666879999999999,Simulation
397,0.8652559999999997,Simulation
398,0.8643439999999999,Simulation
399,0.868196,Simulation
400,0.865736,Simulation
401,0.866236,Simulation
402,0.8678239999999999,Simulation
403,0.866076,Simulation
404,0.8668520000000001,Simulation
405,0.8682280000000001,Simulation
406,0.8687040000000003,Simulation
407,0.8664200000000001,Simulation
408,0.8658640000000001,Simulation
409,0.865736,Simulation
410,0.867828,Simulation
411,0.8649720000000001,Simulation
412,0.8668360000000002,Simulation
413,0.86778,Simulation
414,0.8605720000000002,Simulation
415,0.8678280000000002,Simulation
416,0.8624440000000001,Simulation
417,0.864916,Simulation
418,0.866236,Simulation
419,0.867828,Simulation
420,0.86766,Simulation
421,0.8679559999999997,Simulation
422,0.8624199999999997,Simulation
423,0.870424,Simulation
424,0.8650360000000002,Simulation
425,0.86062,Simulation
426,0.8636320000000002,Simulation
427,0.8678239999999999,Simulation
428,0.8649720000000001,Simulation
429,0.86766,Simulation
430,0.869672,Simulation
431,0.8638600000000003,Simulation
432,0.8697680000000001,Simulation
433,0.8680960000000001,Simulation
434,0.8670880000000001,Simulation
435,0.8693120000000001,Simulation
436,0.866076,Simulation
437,0.8668360000000002,Simulation
438,0.8679559999999997,Simulation
439,0.869672,Simulation
440,0.8721399999999999,Simulation
441,0.8597880000000001,Simulation
442,0.8658440000000001,Simulation
443,0.863876,Simulation
444,0.868608,Simulation
445,0.8668520000000001,Simulation
446,0.86778,Simulation
447,0.8624199999999997,Simulation
448,0.8638600000000003,Simulation
449,0.8721399999999999,Simulation
450,0.8616360000000001,Simulation
451,0.861588,Simulation
452,0.8640039999999998,Simulation
453,0.86294,Simulation
454,0.8640599999999998,Simulation
455,0.8575159999999998,Simulation
456,0.86524,Simulation
457,0.866424,Simulation
458,0.8569439999999996,Simulation
459,0.8616360000000001,Simulation
460,0.8628119999999999,Simulation
461,0.8661560000000001,Simulation
462,0.8619359999999996,Simulation
463,0.868688,Simulation
464,0.866784,Simulation
465,0.8633839999999998,Simulation
466,0.8668000000000001,Simulation
467,0.8627120000000003,Simulation
468,0.861588,Simulation
469,0.8628119999999999,Simulation
470,0.8602879999999999,Simulation
471,0.8598800000000001,Simulation
472,0.8665279999999997,Simulation
473,0.8603559999999999,Simulation
474,0.8573959999999999,Simulation
475,0.8669560000000001,Simulation
476,0.8619319999999999,Simulation
477,0.8640039999999998,Simulation
478,0.8661560000000001,Simulation
479,0.8602879999999999,Simulation
480,0.8671359999999999,Simulation
481,0.8647800000000001,Simulation
482,0.8629399999999999,Simulation
483,0.8605560000000002,Simulation
484,0.866468,Simulation
485,0.864948,Simulation
486,0.86294,Simulation
487,0.8619359999999996,Simulation
488,0.8598800000000001,Simulation
489,0.8671359999999999,Simulation
490,0.8623760000000001,Simulation
491,0.8619519999999999,Simulation
492,0.8637040000000001,Simulation
493,0.8620400000000001,Simulation
494,0.863388,Simulation
495,0.8640599999999998,Simulation
496,0.868688,Simulation
497,0.8665279999999997,Simulation
498,0.8647800000000001,Simulation
499,0.8623760000000001,Simulation
500,0.8662399999999999,Simulation
501,0.8610640000000003,Simulation
502,0.864268,Simulation
503,0.8667039999999999,Simulation
504,0.8575159999999998,Simulation
505,0.866784,Simulation
506,0.8603559999999999,Simulation
507,0.8629399999999999,Simulation
508,0.8619519999999999,Simulation
509,0.8662399999999999,Simulation
510,0.8635079999999997,Simulation
511,0.8647519999999999,Simulation
512,0.8604680000000001,Simulation
513,0.86524,Simulation
514,0.8633839999999998,Simulation
515,0.8573959999999999,Simulation
516,0.8605560000000002,Simulation
517,0.8637040000000001,Simulation
518,0.8610640000000003,Simulation
519,0.8635079999999997,Simulation
520,0.8680120000000001,Simulation
521,0.858848,Simulation
522,0.866424,Simulation
523,0.8668000000000001,Simulation
524,0.8669560000000001,Simulation
525,0.866468,Simulation
526,0.8620400000000001,Simulation
527,0.864268,Simulation
528,0.8647519999999999,Simulation
529,0.8680120000000001,Simulation
530,0.868768,Simulation
531,0.8569439999999996,Simulation
532,0.8627120000000003,Simulation
533,0.8619319999999999,Simulation
534,0.864948,Simulation
535,0.863388,Simulation
536,0.8667039999999999,Simulation
537,0.8604680000000001,Simulation
538,0.858848,Simulation
539,0.868768,Simulation
540,0.8601559999999997,Simulation
541,0.85934,Simulation
542,0.860824,Simulation
543,0.86194,Simulation
544,0.86264,Simulation
545,0.8552520000000005,Simulation
546,0.863168,Simulation
547,0.8640800000000001,Simulation
548,0.8540800000000001,Simulation
549,0.8601559999999997,Simulation
550,0.8617999999999999,Simulation
551,0.863792,Simulation
552,0.861012,Simulation
553,0.8644000000000002,Simulation
554,0.8624279999999999,Simulation
